timestamp,action,track_artist,track_title,track_album,query,tier,score,filename,username,length,bitrate,size,speed
2026-06-18T13:02:09,preview,"DJ Snake, Selena Gomez, Ozuna, Cardi B",Taki Taki,Carte Blanche,"DJ Snake, Selena Gomez, Ozuna, Cardi B Taki Taki intro",Intro / Exact,360.0,m3\TL-0day MP3 JAN25-2024\DJ Weekly Remix Pack Week 03 (2024)-Will1869-F4M\DJ Weekly Remix Pack Week 03 (2024)\155 DJ Loaded - Difference Sounder\108. Dj Snake Ft Ozuna Cardi B & Selena Gomez - Taki Taki (Ck Intro - Clean) (Revised).mp3,TauAs,240,320,320kb,1.76MB/s
2026-06-18T13:02:31,keep_preview,"DJ Snake, Selena Gomez, Ozuna, Cardi B",Taki Taki,Carte Blanche,"DJ Snake, Selena Gomez, Ozuna, Cardi B Taki Taki intro",Intro / Exact,360.0,m3\TL-0day MP3 JAN25-2024\DJ Weekly Remix Pack Week 03 (2024)-Will1869-F4M\DJ Weekly Remix Pack Week 03 (2024)\155 DJ Loaded - Difference Sounder\108. Dj Snake Ft Ozuna Cardi B & Selena Gomez - Taki Taki (Ck Intro - Clean) (Revised).mp3,TauAs,240,320,320kb,1.76MB/s
2026-06-18T13:02:52,preview,Lil Mosey,Blueberry Faygo,Blueberry Faygo,Lil Mosey Blueberry Faygo intro,Intro / Exact,438.0,@@dvdgg\DJ POOL\New folder\2020 hip hop bangers\Lil Mosey - Blueberry Faygo (Intro Clean).mp3,Dstserato,174,320,320kb,0.75MB/s
2026-06-18T13:03:37,preview,Lil Mosey,Blueberry Faygo,Blueberry Faygo,Lil Mosey Blueberry Faygo intro,Intro / Exact,438.0,@@htouc\Music Sets\Promo Only\PO Other Stuff\PO Express Audio DJ Tools\PO Express Audio DJ Tools 2025-06 WK01\PO Express Audio DJ Tools 2020\PO Express Audio DJ Tools 2020-03 WK01\Lil Mosey - Blueberry Faygo (PO Intro Edit - Clean) (2020).mp3,KJ_Jim,175,320,320kb,0.95MB/s
2026-06-18T13:04:43,keep_preview,Lil Mosey,Blueberry Faygo,Blueberry Faygo,Lil Mosey Blueberry Faygo intro,Intro / Exact,438.0,@@htouc\Music Sets\Promo Only\PO Other Stuff\PO Express Audio DJ Tools\PO Express Audio DJ Tools 2025-06 WK01\PO Express Audio DJ Tools 2020\PO Express Audio DJ Tools 2020-03 WK01\Lil Mosey - Blueberry Faygo (PO Intro Edit - Clean) (2020).mp3,KJ_Jim,175,320,320kb,0.95MB/s
2026-06-18T13:06:18,download_final,"Flo Rida, T-Pain",Low,Mail on Sunday,"Flo Rida, T-Pain Low intro",Intro / Exact,438.0,"Shared\Nicotine_2\gillern\Orginalfiler musikk\Flo Rida,T-Pain - Low (Sickmix Intro) (Clean) 128.mp3",SeriousDanger,232,320,320kb,0.82MB/s
2026-06-18T13:07:51,preview,"Flo Rida, T-Pain",Low,Mail on Sunday,"Flo Rida, T-Pain Low intro",Intro / Exact,281.0,"AUDIO1\2026\05-MAY\08\Beatport Wedding Anthems\Beatport Wedding Anthems Pop\T-Pain, Flo Rida - Low (feat. T-Pain) Intro.mp3",DJ_Promo,240,320,320kb,0.02MB/s
2026-06-18T13:14:55,preview,Silentó,Watch Me Whip / Nae Nae,Watch Me (Whip / Nae Nae),Silentó Watch Me Whip / Nae Nae,Normal / Exact,372.0,@@njdpu\2025\Silentó - Watch Me (Whip _ Nae Nae) Silentó (SickMix intro) (clean).mp3,SilasVZ,233,224,224kb,2.20MB/s
2026-06-18T13:15:48,keep_preview,Silentó,Watch Me Whip / Nae Nae,Watch Me (Whip / Nae Nae),Silentó Watch Me Whip / Nae Nae,Normal / Exact,372.0,@@njdpu\2025\Silentó - Watch Me (Whip _ Nae Nae) Silentó (SickMix intro) (clean).mp3,SilasVZ,233,224,224kb,2.20MB/s
2026-06-18T13:17:38,preview,The Weeknd,Blinding Lights,After Hours,The Weeknd Blinding Lights intro,Intro / Exact,447.0,Music\beatport_tracks_2024-02\The Weeknd - Blinding Lights (Intro Clean).mp3,dj_scrapcirkit,213,320,320kb,19.47MB/s
2026-06-18T13:17:51,keep_preview,The Weeknd,Blinding Lights,After Hours,The Weeknd Blinding Lights intro,Intro / Exact,447.0,Music\beatport_tracks_2024-02\The Weeknd - Blinding Lights (Intro Clean).mp3,dj_scrapcirkit,213,320,320kb,19.47MB/s
2026-06-18T13:18:16,preview,Stromae,Alors on danse,Cheese,Stromae Alors on danse intro,Intro / Exact,443.0,@@njdpu\2025\Stromae - Alors On Danse (TMU Throwback Intro) (Clean) 120.mp3,SilasVZ,224,320,320kb,2.20MB/s
2026-06-18T13:18:45,keep_preview,Stromae,Alors on danse,Cheese,Stromae Alors on danse intro,Intro / Exact,443.0,@@njdpu\2025\Stromae - Alors On Danse (TMU Throwback Intro) (Clean) 120.mp3,SilasVZ,224,320,320kb,2.20MB/s
2026-06-18T13:19:38,preview,"Pitbull, Ne-Yo",Time of Our Lives,Globalization,"Pitbull, Ne-Yo Time of Our Lives clean",Clean / Exact,281.0,Music\Pitbull f. Ne-Yo\Unknown Album\Time Of Our Lives (Clean) (Funkymix.mp3,FartyPants,291,320,320kb,0.44MB/s
2026-06-18T13:21:43,preview,"LMFAO, Lauren Bennett, GoonRock",Party Rock Anthem,Sorry For Party Rocking,Party Rock Anthem intro,Intro / Title Only,292.25,@@uvctt\(02) Alternative\2000s-2017\LMFAO ft Lauren Bennett & Goon Rock - Party Rock Anthem (CK Intro - Clean).mp3,TK868,260,320,320kb,0.15MB/s
2026-06-18T13:22:08,preview,"LMFAO, Lauren Bennett, GoonRock",Party Rock Anthem,Sorry For Party Rocking,Party Rock Anthem intro,Intro / Title Only,283.0,@@htouc\Music Sets\Promo Only\PO Mainstream Club\PO Mainstream Club 2011\PO Mainstream Club 2011-04 CD1\13 - Lmfao Ft Lauren Bennett & Goonrock - Party Rock Anthem (PO Intro Edit) (2011).mp3,KJ_Jim,291,204,204kb,0.95MB/s
2026-06-18T13:22:47,keep_preview,"LMFAO, Lauren Bennett, GoonRock",Party Rock Anthem,Sorry For Party Rocking,Party Rock Anthem intro,Intro / Title Only,283.0,@@htouc\Music Sets\Promo Only\PO Mainstream Club\PO Mainstream Club 2011\PO Mainstream Club 2011-04 CD1\13 - Lmfao Ft Lauren Bennett & Goonrock - Party Rock Anthem (PO Intro Edit) (2011).mp3,KJ_Jim,291,204,204kb,0.95MB/s
2026-06-18T13:25:45,preview,DJ Khaled,All I Do Is Win,Victory,DJ Khaled All I Do Is Win intro,Intro / Exact,438.0,@@dlwfh\Hip hop\DJ Khaled -All I Do Is Win [DJ Intro - Clean].mp3,DJLee,268,256,256kb,0.60MB/s
2026-06-18T13:26:34,preview,DJ Khaled,All I Do Is Win,Victory,DJ Khaled All I Do Is Win intro,Intro / Exact,408.0,"MP3\DJ Pools\Dj Pools Music Pack [27 June 2025]\AreYouKidy - Party Saver Play 2\Dj Khaled Ft. T-Pain, Ludacris - All I Do Is Win (Intro Clean) 150.mp3",zombies1337,140,320,320kb,2.34MB/s
2026-06-18T13:26:47,keep_preview,DJ Khaled,All I Do Is Win,Victory,DJ Khaled All I Do Is Win intro,Intro / Exact,408.0,"MP3\DJ Pools\Dj Pools Music Pack [27 June 2025]\AreYouKidy - Party Saver Play 2\Dj Khaled Ft. T-Pain, Ludacris - All I Do Is Win (Intro Clean) 150.mp3",zombies1337,140,320,320kb,2.34MB/s
2026-06-18T13:27:08,preview,Bad Bunny,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny Tití Me Preguntó intro,Intro / Exact,443.0,@@eikha\ALL MUSIC\Bad Bunny - Tití Me Preguntó (Intro Clean).mp3,DJStan71,235,320,320kb,4.47MB/s
2026-06-18T13:27:30,keep_preview,Bad Bunny,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny Tití Me Preguntó intro,Intro / Exact,443.0,@@eikha\ALL MUSIC\Bad Bunny - Tití Me Preguntó (Intro Clean).mp3,DJStan71,235,320,320kb,4.47MB/s
2026-06-18T13:28:24,preview,Sabrina Carpenter,Espresso,Short n' Sweet,Sabrina Carpenter Espresso intro,Intro / Exact,443.0,Unsorted\The Mash Up\2025\0617\Sabrina Carpenter - Espresso (TMU Intro) (Clean) 8A 104.mp3,lwl,189,320,320kb,2.85MB/s
2026-06-18T13:29:13,keep_preview,Sabrina Carpenter,Espresso,Short n' Sweet,Sabrina Carpenter Espresso intro,Intro / Exact,443.0,Unsorted\The Mash Up\2025\0617\Sabrina Carpenter - Espresso (TMU Intro) (Clean) 8A 104.mp3,lwl,189,320,320kb,2.85MB/s
2026-06-18T13:29:55,download_final,"Camila Cabello, Young Thug",Havana,Camila,Havana intro,Intro / Title Only,287.5,@@gfzvp\Soulseek Partage\Music\Media\Music\Camila Cabello\New Year Eve 2020 - Ultimate Top 100\12 Havana (Intro Clean).mp3,mascotoss,225,320,320kb,1.02MB/s
2026-06-18T13:30:27,download_final,"Luis Fonsi, Daddy Yankee",Despacito,VIDA,Despacito intro,Intro / Title Only,360.0,latin\reggaeton\Luis Fonsi ft Daddy Yankee - Despacito (Intro - Clean).mp3,trvrlt,260,320,320kb,1.49MB/s
2026-06-18T13:31:42,preview,David Zowie,House Every Weekend,House Every Weekend (Radio Edit),House Every Weekend,Manual,360.0,@@hqlrp\mp3\David Zowie\House Every Weekend\David Zowie - House Every Weekend (Radio Edit).mp3,Athmos,182,320,320kb,2.18MB/s
